"software_id","software_name","task_id","task_name","metric","sum","unit","type","uri","branch","filename","phase","machine_id","machine_name","created_at","run_id","run_created_at"
27,"brotli",103,"Compress/Uncompress [ALL]","cpu_energy_rapl_msr_component",3368391692,"uJ","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","[RUNTIME]",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",103,"Compress/Uncompress [ALL]","custom_compressed_mb",111,"MB","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","[RUNTIME]",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",103,"Compress/Uncompress [ALL]","custom_compressed_mb_sci_global",26428,"ugCO2e/MB","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","[RUNTIME]",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",103,"Compress/Uncompress [ALL]","custom_uncompressed_mb",111,"MB","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","[RUNTIME]",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",103,"Compress/Uncompress [ALL]","custom_uncompressed_mb_sci_global",1023,"ugCO2e/MB","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","[RUNTIME]",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",103,"Compress/Uncompress [ALL]","phase_time_syscall_system",237713386,"us","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","[RUNTIME]",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",103,"Compress/Uncompress [ALL]","psu_energy_ac_mcp_machine",8183631281,"uJ","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","[RUNTIME]",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",104,"Compress 1 MB","cpu_energy_rapl_msr_component",31182850,"uJ","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","Compress 1 MB",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",104,"Compress 1 MB","custom_compressed_mb",1,"MB","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","Compress 1 MB",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",104,"Compress 1 MB","custom_compressed_mb_sci_global",8995,"ugCO2e/MB","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","Compress 1 MB",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",104,"Compress 1 MB","phase_time_syscall_system",2152728,"us","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","Compress 1 MB",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",104,"Compress 1 MB","psu_energy_ac_mcp_machine",76745402,"uJ","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","Compress 1 MB",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",105,"Compress 10 MB","cpu_energy_rapl_msr_component",305095904,"uJ","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","Compress 10 MB",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
27,"brotli",105,"Compress 10 MB","custom_compressed_mb",10,"MB","TOTAL","https://github.com/green-coding-solutions/SEBOM","main","compression/usage_scenario-brotli.yml","Compress 10 MB",13,"High Performance (DVFS OFF, TB OFF, HT OFF) - TX1330 M4 [PREMIUM]","2026-06-02 13:59:05.949992+02","8e93a8d2-60b0-4831-905b-764b68257bc7","2026-05-28 08:28:35.053585+02"
